0420165222|ares |4|00|aresDnsLookup: select time-out 4 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420165224|ares |4|00|aresDnsLookup: select time-out 5 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420165226|ares |4|00|aresDnsLookup: select time-out 6 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420165226|dns  |4|00|DNS server(s) unresponsive due to query timeout after 8 sec (Threshold = 5)
0420165226|sip  |4|00|doDnsListLookup(udp): doDnsSrvLookupForARecordList 'fmoffice.fullymanaged.sip.voxter.com' found no records. 
0420165248|dns  |4|00|DNS(SRV) query now allowed after unresponsive for 22 (of 10) sec
0420165249|ares |4|00|aresDnsLookup: select time-out 1 on A lookup for 'sbc02.van1.voxter.net.' after 0 sec
0420165250|ares |4|00|aresDnsLookup: select time-out 2 on A lookup for 'sbc02.van1.voxter.net.' after 0 sec
0420174852|ares |4|00|aresDnsLookup: select time-out 1 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420174853|ares |4|00|aresDnsLookup: select time-out 2 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420174854|ares |4|00|aresDnsLookup: select time-out 3 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420174855|ares |4|00|aresDnsLookup: select time-out 4 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420174857|ares |4|00|aresDnsLookup: select time-out 5 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420174859|ares |4|00|aresDnsLookup: select time-out 6 on SRV lookup for '_sip._udp.fmoffice.fullymanaged.sip.voxter.com' after 0 sec
0420174859|dns  |4|00|DNS server(s) unresponsive due to query timeout after 7 sec (Threshold = 5)
0420174859|sip  |4|00|doDnsListLookup(udp): doDnsSrvLookupForARecordList 'fmoffice.fullymanaged.sip.voxter.com' found no records. 
0420174921|dns  |4|00|DNS(SRV) query now allowed after unresponsive for 22 (of 10) sec
0420193722|ares |4|00|aresDnsLookup: select time-out 1 on A lookup for 'sbc01.van1.voxter.net.' after 0 sec
0421083133|so   |4|00|IsDivertFeaturesEnabled - EXIT
0421083133|so   |4|00|IsDivertFeaturesEnabled - EXIT
0421083241|clist|4|00|dbIO::processResult:copy error
0421083241|clist|4|00|dbSet::mem2srv:transfer failed
0421090525|so   |4|00|IsDivertFeaturesEnabled - EXIT
0421090525|so   |4|00|IsDivertFeaturesEnabled - EXIT
0421090541|clist|4|00|dbIO::processResult:copy error
0421090541|clist|4|00|dbSet::mem2srv:transfer failed
0421090911|so   |4|00|IsDivertFeaturesEnabled - EXIT
0421090911|so   |4|00|IsDivertFeaturesEnabled - EXIT
0421090925|sip  |4|00|NAPTR query for host 'fmoffice.fullymanaged.sip.voxter.com' returned no results
